image_idx,label_path,instance_id,num_instances_in_image,instance_dominance,instance_volume,voronoi_volume,voronoi_fraction,compactness,sphereness,stringiness,eccentricity
0,../data/datasets//sbm/val/labels/mets/Mets_142.nii.gz,1,8,0.5465367965367965,120.0,1729399,6.93882672535372e-05,0.7843137254901961,1.739540814048686,2.1980468958425554,0.8905173168664383
0,../data/datasets//sbm/val/labels/mets/Mets_142.nii.gz,2,8,0.5465367965367965,90.0,741158,0.00012143159758108258,0.6617647058823529,1.1944816381150305,1.463796689199913,0.7302734223379598
0,../data/datasets//sbm/val/labels/mets/Mets_142.nii.gz,3,8,0.5465367965367965,16.0,1158183,1.3814742575223432e-05,0.8,2.6406964440585106,2.765958986017955,0.932357273958991
0,../data/datasets//sbm/val/labels/mets/Mets_142.nii.gz,4,8,0.5465367965367965,2020.0,1495105,0.0013510756769591432,0.770110560426992,0.8020033612028618,1.2077115585051261,0.5607099657867963
0,../data/datasets//sbm/val/labels/mets/Mets_142.nii.gz,5,8,0.5465367965367965,25.0,183049,0.00013657545247447404,0.7142857142857143,2.153017441936136,2.4685048597553614,0.9142708245654491
0,../data/datasets//sbm/val/labels/mets/Mets_142.nii.gz,6,8,0.5465367965367965,47.0,1830274,2.5679215243182167e-05,0.6438356164383562,1.4005662824496674,1.8485760321428473,0.8410503009883047
0,../data/datasets//sbm/val/labels/mets/Mets_142.nii.gz,7,8,0.5465367965367965,27.0,754292,3.5795156252485775e-05,0.8181818181818182,2.2606932682828167,1.4128581057877123,0.7064277512576319
0,../data/datasets//sbm/val/labels/mets/Mets_142.nii.gz,8,8,0.5465367965367965,1351.0,1938940,0.0006967724633046923,0.8262996941896025,0.9324658014125252,1.2765430886055487,0.6215611524250897
1,../data/datasets//sbm/val/labels/mets/Mets_298.nii.gz,1,3,0.9314079422382672,9.0,3327067,2.7050852898363633e-06,0.75,3.067715693444865,2.1415836279414298,0.8842867960017136
1,../data/datasets//sbm/val/labels/mets/Mets_298.nii.gz,2,3,0.9314079422382672,10.0,2417683,4.136191551994203e-06,inf,,1.0327955589886444,1.0
1,../data/datasets//sbm/val/labels/mets/Mets_298.nii.gz,3,3,0.9314079422382672,258.0,4085650,6.314784673185417e-05,0.7794561933534743,1.1075904736653974,1.3260391218766712,0.6567302600651477
2,../data/datasets//sbm/val/labels/mets/Mets_051.nii.gz,1,12,0.42672919109026963,437.0,1278086,0.00034191752354692875,0.7094155844155844,0.8810201053203097,1.5389483186016053,0.7601100164789631
2,../data/datasets//sbm/val/labels/mets/Mets_051.nii.gz,2,12,0.42672919109026963,45.0,592186,7.598963839064077e-05,0.6338028169014085,1.2279012949868635,1.9898727731581767,0.8645512318510259
2,../data/datasets//sbm/val/labels/mets/Mets_051.nii.gz,3,12,0.42672919109026963,21.0,393756,5.333252064730442e-05,0.9130434782608695,8.473770777435501,2.5762910255877953,0.9215941456025984
